position,title,company,location,job_type,experience,url
Data Engineer,Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",Full Time,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/yzal3d0v861d-senior-data-scientist-vertex-technologies-cairo-egypt
Data Engineer,Cost Control Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt",Full Time,· 4 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/lqteo3iv3stg-cost-control-engineer-saudi-firmness-cairo-egypt
Data Engineer,Planning Engineer,Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt",Full Time,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/mzvc0tsma55d-planning-engineer-doosan-enerbility-co-ltd-matruh-egypt
Data Engineer,Planning Engineer,etisal for advanced industries -,"6th of October, Giza, Egypt",Full Time,· 0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/m9xesrhuzufc-planning-engineer-etisal-for-advanced-industries-giza-egypt
Data Science,Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/3x6prdwpt2tz-senior-data-engineer-vertex-technologies-cairo-egypt
Data Science,SAP Master Data Administrator,Amreyah Cement -,"Nasr City, Cairo, Egypt",Full Time,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/tre5cqqrxiqf-sap-master-data-administrator-amreyah-cement-cairo-egypt
Data Science,Data Analyst,EGEC -,"Haram, Giza, Egypt",Full Time,· 0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/vclkpyuwu8wh-data-analyst-egec-giza-egypt
Data Science,Sr. Data Engineer - Spark,Techsa -,"Cairo, Egypt",Full Time,· 7+ Yrs of Exp,https://wuzzuf.net/jobs/p/4w6f7tucldaf-sr-data-engineer-spark-techsa-cairo-egypt
Data Science,Sr. Data Engineer - Flink,Techsa -,"Cairo, Egypt",Full Time,· 7+ Yrs of Exp,https://wuzzuf.net/jobs/p/kxuhb21u1pz5-sr-data-engineer-flink-techsa-cairo-egypt
Data Science,Data Scientist – Machine Learning & Generative AI,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,· 1 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ygbb8ah3zfkh-data-scientist-machine-learning-generative-ai-epsilonai-cairo-egypt
Data Science,Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",Full Time,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/yzal3d0v861d-senior-data-scientist-vertex-technologies-cairo-egypt
Data Science,Principal Data Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,· 6+ Yrs of Exp,https://wuzzuf.net/jobs/p/2hly9qsdamhe-principal-data-engineer-vertex-technologies-cairo-egypt
Data Science,IT Specialist,ZAD MEP -,"Heliopolis, Cairo, Egypt",Full Time,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/4jfdyicnq8om-it-specialist-zad-mep-cairo-egypt
Data Science,Senior Outsystems Developer,Link Development -,"Cairo, Egypt",Full Time,· 3 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/so0iisbrp8l0-senior-outsystems-developer-link-development-cairo-egypt
Data Science,Technical Support & Quality Engineer,Bouri Group -,"New Cairo, Cairo, Egypt",Full Time,· 4 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/24a55ggjdiio-technical-support-quality-engineer-bouri-group-cairo-egypt
Data Science,IT Manager,Everlast -,"Heliopolis, Cairo, Egypt",Full Time,· 5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/tap2sw5mahey-it-manager-everlast-cairo-egypt
Data Science,Database Administrator (DBA),Etisalat Egypt -,"Cairo, Egypt",Full Time,· 2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/9kgxhoepfg2o-database-administrator-dba-etisalat-egypt-cairo-egypt
Data Science,Power BI Developer / BI Specialist,Advanced Solutions -,"Nasr City, Cairo, Egypt",Full Time,· 2 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/5hygjfkymgpa-power-bi-developer-bi-specialist-advanced-solutions-cairo-egypt
Data Science,Senior Machine Learning Engineer,TechJump -,"Alexandria, Egypt",Full Time,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/etxcwinbdjs4-senior-machine-learning-engineer-techjump-alexandria-egypt
Data Science,Governance Senior Specialist,Etisalat Egypt -,"Maadi, Cairo, Egypt",Full Time,· 2 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/p9tf1rptlxkl-governance-senior-specialist-etisalat-egypt-cairo-egypt
Data Science,Quality Manager (Chemical Engineering),Rockal -,"Belbes, Sharqia, Egypt",Full Time,· 5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/jqaqwtgdkjyp-quality-manager-chemical-engineering-rockal-sharqia-egypt
Data Science,Power BI Developer - Project Based,Pure Group -,"Cairo, Egypt",Freelance / Project,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/yd0g3k6ypuqo-power-bi-developer-project-based-pure-group-cairo-egypt
Data Science,AI Engineer (LLM & AI Applications),Exab -,"Cairo, Egypt",Full Time,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/f3fqbcncr7i6-ai-engineer-llm-ai-applications-exab-cairo-egypt
Data Science,AI Engineer,Confidential -,"Sheraton, Cairo, Egypt",Full Time,· 3 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/kca9wrw4ul4l-ai-engineer-cairo-egypt
Data Science,Sr. Testing / QA Lead,Techsa -,"Cairo, Egypt",Full Time,· 6+ Yrs of Exp,https://wuzzuf.net/jobs/p/7kjydbcqevjb-sr-testing-qa-lead-techsa-cairo-egypt
Data Science,Sr. Application Solution Architect,Techsa -,"Cairo, Egypt",Full Time,· 12+ Yrs of Exp,https://wuzzuf.net/jobs/p/wtflhuqz6zjr-sr-application-solution-architect-techsa-cairo-egypt
Data Science,HR Data Analyst,Amreyah Cement -,"Sheraton, Cairo, Egypt",Full Time,· 1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/pyqhdkta1ch6-hr-data-analyst-amreyah-cement-cairo-egypt
Data Science,IT Infrastructure Solution Architect,Etisalat Egypt -,"New Cairo, Cairo, Egypt",Full Time,· 3 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/okaq34psvuvb-it-infrastructure-solution-architect-etisalat-egypt-cairo-egypt
Data Science,Senior AI Engineer,Efada Technology -,"New Cairo, Cairo, Egypt",Full Time,· 4+ Yrs of Exp,https://wuzzuf.net/jobs/p/e24mgm9chl4v-senior-ai-engineer-efada-technology-cairo-egypt
Data Science,Planning & Data Supervisor,Family Corporation -,"Haram, Giza, Egypt",Full Time,· 1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/axweyysudwpr-planning-data-supervisor-family-corporation-giza-egypt
